Rank,Sourceid,Title,Type,H index
123,21100198409,Nature Climate Change,journal,Q1
124,19900191885,American Economic Journal: Macroeconomics,journal,Q1
125,4600151524,Annual Review of Clinical Psychology,journal,Q1
126,5800207366,Nature Protocols,journal,Q1
127,24769,Materials Today,journal,Q1
128,22899,Journal of Consumer Research,journal,Q1
129,21100420583,JAMA Oncology,journal,Q1
130,21100884663,Nature Electronics,journal,Q1
131,21100394875,Cell Systems,journal,Q1
132,17900156715,IEEE Communications Surveys and Tutorials,journal,Q1
133,19900191884,American Economic Journal: Economic Policy,journal,Q1
134,24204,Review of Economics and Statistics,journal,Q1
135,24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,Q1
136,21100220495,"Lancet Respiratory Medicine,The",journal,Q1
137,21100212318,Cancer Discovery,journal,Q1
138,20206,Academy of Management Review,journal,Q1
139,16512,Review of Educational Research,journal,Q1
140,21100201772,Physical Review X,journal,Q1
141,12000154482,Annual Review of Biophysics,journal,Q1
142,22581,Circulation,journal,Q1
143,21677,American Journal of Human Genetics,journal,Q1
144,20278,Microbiology and Molecular Biology Reviews,journal,Q1
145,4700152228,Molecular Systems Biology,journal,Q1
146,22961,Journal of Marketing Research,journal,Q1
147,29709,Reports on Progress in Physics,journal,Q1
148,19700188395,Annual Review of Marine Science,journal,Q1
149,21191,Pharmacological Reviews,journal,Q1
150,28418,Brookings Papers on Economic Activity,journal,Q1
151,23714,Marketing Science,journal,Q1
152,5300152732,Cell Host and Microbe,journal,Q1
153,15555,American Journal of Political Science,journal,Q1
154,17435,EMBO Journal,journal,Q1
155,19700174677,Science Translational Medicine,journal,Q1
156,20425,Nature Reviews Drug Discovery,journal,Q1
157,4000148205,Nature Chemical Biology,journal,Q1
158,29857,Journal of Accounting Research,journal,Q1
159,20635,Journal of Management,journal,Q1
160,22680,Journal of the American Chemical Society,journal,Q1
161,21100356804,The Lancet Psychiatry,journal,Q1
162,17814,Materials Science and Engineering: R: Reports,journal,Q1
163,18567,Fungal Diversity,journal,Q1
164,15359,Trends in Cognitive Sciences,journal,Q1
165,110092,MMWR. Morbidity and mortality weekly report,journal,Q1
166,21100804406,The Lancet Public Health,journal,Q1
167,19600166418,Tax Policy and the Economy,book series,Q1
168,14365,Trends in Ecology and Evolution,journal,Q1
169,28330,Gastroenterology,journal,Q1
170,21100228547,JAMA Psychiatry,journal,Q1
171,25297,Journal of Hepatology,journal,Q1
172,14599,Ecology Letters,journal,Q1
173,13969,"Psychological Science in the Public Interest, Supplement",journal,Q1
174,21100228100,Advances in Optics and Photonics,journal,Q1
175,17600155130,NCHS data brief,journal,Q1
176,28978,Journal of Economic Growth,journal,Q1
177,19049,Trends in Genetics,journal,Q1
178,79076,"Vital and health statistics. Series 3, Analytical studies",journal,Q1
179,19614,Annual Review of Microbiology,journal,Q1
180,25491,Diabetes Care,journal,Q1
181,13461,Psychological Methods,journal,Q1
182,15388,Journal of Applied Psychology,journal,Q1
183,19700175140,Genome Medicine,journal,Q1
184,21100369870,The Lancet HIV,journal,Q1
185,93992,Sentinel event alert / Joint Commission on Accreditation of Healthcare Organizations,journal,Q1
186,14305,Systematic Biology,journal,Q1
187,17382,Molecular Psychiatry,journal,Q1
188,13531,Journal of the Royal Statistical Society. Series B: Statistical Methodology,journal,Q1
189,26465,Progress in Polymer Science,journal,Q1
190,4700152457,Nano Today,journal,Q1
191,21100788876,Chem,journal,Q1
192,19136,Annals of the Rheumatic Diseases,journal,Q1
193,13900,Cell Research,journal,Q1
194,21100228546,JAMA Internal Medicine,journal,Q1
195,11500153511,ACS Nano,journal,Q1
196,17700156208,Nature Reviews Gastroenterology and Hepatology,journal,Q1
197,21100261712,Analytic Methods in Accident Research,journal,Q1
198,21100242814,eLife,journal,Q1
199,17664,American Journal of Psychiatry,journal,Q1
200,20810,Immunological Reviews,journal,Q1
201,21100457028,Science advances,journal,Q1
202,14308,Biological Psychiatry,journal,Q1
203,21100201068,Cell Reports,journal,Q1
204,3600148102,Alzheimer's and Dementia,journal,Q1
205,16929,American Sociological Review,journal,Q1
206,21100826360,JAMA Cardiology,journal,Q1
207,15870,Journal of Clinical Investigation,journal,Q1
208,19700173023,Living Reviews in Solar Physics,journal,Q1
209,19700176402,Cold Spring Harbor perspectives in biology,journal,Q1
210,16715,Annual Review of Phytopathology,journal,Q1
211,21365,Trends in Immunology,journal,Q1
212,85291,JAMA - Journal of the American Medical Association,journal,Q1
213,21100831443,Nature Biomedical Engineering,journal,Q1
214,23183,European Heart Journal,journal,Q1
215,18000,American Journal of Respiratory and Critical Care Medicine,journal,Q1
216,29488,Progress in Particle and Nuclear Physics,journal,Q1
217,25143,Advanced Functional Materials,journal,Q1
218,15557,American Political Science Review,journal,Q1
219,19133,Annual Review of Entomology,journal,Q1
220,26756,Astronomy and Astrophysics Review,journal,Q1
221,23262,Inventiones Mathematicae,journal,Q1
222,15090,Progress in Retinal and Eye Research,journal,Q1
223,29838,Journal of Accounting and Economics,journal,Q1
224,21100793805,"Proceedings - 2016 4th International Conference on 3D Vision, 3DV 2016",conference and proceedings,-
225,17853,Nano Letters,journal,Q1
226,24527,Acta Mathematica,journal,Q1
227,21789,Manufacturing and Service Operations Management,journal,Q1
228,21100924211,Small Methods,journal,Q1
229,17600155041,Nature Geoscience,journal,Q1
230,6400153126,Theoretical Economics,journal,Q1
231,19584,Annual Review of Public Health,journal,Q1
232,18555,Journal of Cell Biology,journal,Q1
233,17700156440,Nature Reviews Endocrinology,journal,Q1
234,21100197947,Nano Energy,journal,Q1
235,144840,PLoS Medicine,journal,Q1
236,21100831440,Nature Ecology and Evolution,journal,Q1
237,21100407195,Optica,journal,Q1
238,19700182758,Nature Communications,journal,Q1
239,22324,Organization Science,journal,Q1
240,23188,European Journal of Heart Failure,journal,Q1
241,21100854197,Journal of Cellular Immunotherapy,journal,Q1
242,21100416121,Nature Plants,journal,Q1
243,19708,FEMS Microbiology Reviews,journal,Q1
244,17555,Journal of Monetary Economics,journal,Q1
245,23011,Economic Journal,journal,Q1
246,21119,International Materials Reviews,journal,Q1
247,28096,Accounting Review,journal,Q1
248,13839,Annual Review of Fluid Mechanics,book series,Q1
249,21307,Management Science,journal,Q1
250,22687,Angewandte Chemie - International Edition,journal,Q1
251,20497,Annual Review of Materials Research,book series,Q1
252,25454,Blood,journal,Q1
253,14317,Brain,journal,Q1
254,16594,Plant Cell,journal,Q1
255,28371,Hepatology,journal,Q1
256,12459,Journal of the National Cancer Institute,journal,Q1
257,24385,Journal of the Academy of Marketing Science,journal,Q1
258,21100786228,"Lancet Gastroenterology and Hepatology, The",journal,Q1
259,21100401152,Microbiome,journal,Q1
260,12854,Clinical Psychology Review,journal,Q1
261,21100797856,Journal of Extracellular Vesicles,journal,Q1
262,19700182323,Perspectives on Psychological Science,journal,Q1
263,17700156408,Nature Reviews Neurology,journal,Q1
264,21100278313,Light: Science and Applications,journal,Q1
265,29263,Clinical Cancer Research,journal,Q1
266,18503,Current Opinion in Cell Biology,journal,Q1
267,18525,Developmental Cell,journal,Q1
268,21100926579,Review of Corporate Finance Studies,journal,Q1
269,21708,Annual Review of Genomics and Human Genetics,journal,Q1
270,21100241219,JACC: Heart Failure,journal,Q1
271,21121,Proceedings of the National Academy of Sciences of the United States of America,journal,Q1
272,19479,Annual Review of Pharmacology and Toxicology,journal,Q1
273,73008,"Vital and health statistics. Series 2, Data evaluation and methods research",journal,Q1
274,21100470165,Advanced Science,journal,Q1
275,21100886132,Science Robotics,journal,Q1
276,19300156903,Foundations and Trends in Machine Learning,journal,Q1
277,5800173382,ISME Journal,journal,Q1
278,21100222930,Springer Monographs in Mathematics,book series,Q1
279,21100420314,Energy Storage Materials,journal,Q1
280,24392,Journal of International Business Studies,journal,Q1
281,26038,Endocrine Reviews,journal,Q1
282,18232,Journal of Computer-Mediated Communication,journal,Q1
283,23860,Journal of Business Venturing,journal,Q1
284,9500153903,Biological Reviews,journal,Q1
285,21100824912,ACS Central Science,journal,Q1
286,27498,Annual Review of Medicine,journal,Q1
287,11600153422,Review of Environmental Economics and Policy,journal,Q1
288,25936,Duke Mathematical Journal,journal,Q1
289,11300153407,JACC: Cardiovascular Imaging,journal,Q1
290,14179,Annals of Neurology,journal,Q1
291,26555,Annual Review of Physical Chemistry,journal,Q1
292,22330,Organizational Research Methods,journal,Q1
293,19939,Trends in Neurosciences,journal,Q1
294,39139,International Organization,journal,Q1
295,19600166310,EMBO Molecular Medicine,journal,Q1
296,13467,Psychological Review,journal,Q1
297,12094,Journal of the American Statistical Association,journal,Q1
298,21100403931,Materials Horizons,journal,Q1
299,24870,Journal of Human Resources,journal,Q1
300,28996,Journal of Financial Intermediation,journal,Q1
301,11600154092,Current Protocols in Bioinformatics,journal,Q1
302,26574,Annals of Internal Medicine,journal,Q1
303,17700156202,Nature Reviews Nephrology,journal,Q1
304,13649,Annals of Statistics,journal,Q1
305,21149,Leadership Quarterly,journal,Q1
306,23063,Circulation Research,journal,Q1
307,26463,Progress in Lipid Research,journal,Q1
308,19700182347,Issues in Ecology,book series,Q1
309,19700188320,ACS Catalysis,journal,Q1
310,20650,Journal of Management Studies,journal,Q1
311,21100368204,Cancer immunology research,journal,Q1
312,22005,Annual Review of Earth and Planetary Sciences,book series,Q1
313,12429,Molecular Cancer,journal,Q1
314,12442,Progress in Human Geography,journal,Q1
315,22088,EMBO Reports,journal,Q1
316,17378,Critical Reviews in Biochemistry and Molecular Biology,journal,Q1
317,30039,Journal of Personality and Social Psychology,journal,Q1
318,17809,Trends in Plant Science,journal,Q1
319,21100284918,Earth System Science Data,journal,Q1
320,12402,MIS Quarterly: Management Information Systems,journal,Q1
321,17900156719,International Review of Sport and Exercise Psychology,journal,Q1
322,12977,PLoS Biology,journal,Q1
323,130050,Ocular Surface,journal,Q1
324,21100228519,JAMA Neurology,journal,Q1
325,15623,Human Reproduction Update,journal,Q1
326,21100228540,JAMA Pediatrics,journal,Q1
327,22191,Genetics in Medicine,journal,Q1
328,19700174891,Perspectives in Medicinal Chemistry,journal,Q1
329,19669,Current Opinion in Microbiology,journal,Q1
330,14639,Ophthalmology,journal,Q1
331,19370,Journal of the American Society of Nephrology : JASN,journal,Q1
332,17700156509,Nature Reviews Cardiology,journal,Q1
333,21100274221,IEEE Transactions on Cybernetics,journal,Q1
334,21100867411,Annual Review of Criminology,journal,Q1
335,14992,Current Opinion in Neurobiology,journal,Q1
336,24535,Acta Numerica,journal,Q1
337,64345,Ecological Monographs,journal,Q1
338,145558,Political Analysis,journal,Q1
339,21100861110,Journal of the Association of Environmental and Resource Economists,journal,Q1
340,36483,Global Environmental Change,journal,Q1
341,19684,Criminology,journal,Q1
342,20862,Trends in Microbiology,journal,Q1
343,20333,Journal of Politics,journal,Q1
344,25820,Communications on Pure and Applied Mathematics,journal,Q1
345,19900192439,IMF Economic Review,journal,Q1
346,29993,Annual Review of Nutrition,journal,Q1
347,17924,Current Opinion in Plant Biology,journal,Q1
348,19988,Persoonia,journal,Q1
349,16965,Internet and Higher Education,journal,Q1
350,12499,Neuro-Oncology,journal,Q1
351,13456,Psychological Inquiry,journal,Q1
352,21817,Clinical Infectious Diseases,journal,Q1
353,17600155011,Molecular Plant,journal,Q1
354,16343,Applied Catalysis B: Environmental,journal,Q1
355,21100858657,The Lancet Planetary Health,journal,Q1
356,15131,Global Change Biology,journal,Q1
357,21100370017,The Lancet Haematology,journal,Q1
358,22321,Trends in Pharmacological Sciences,journal,Q1
359,21100466864,Journal for ImmunoTherapy of Cancer,journal,Q1
360,29282,Journal of Occupational Health Psychology,journal,Q1
361,15646,Annual Review of Political Science,book series,Q1
362,144675,Frontiers in Ecology and the Environment,journal,Q1
363,12286,Surface Science Reports,journal,Q1
364,21100198522,Wiley Interdisciplinary Reviews: RNA,journal,Q1
365,21100255526,Quantitative Economics,journal,Q1
366,72242,International Journal of Computer Vision,journal,Q1
367,21100297606,Arthritis and Rheumatology,journal,Q1
368,21100827946,npj Quantum Information,journal,Q1
369,21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,journal,Q1
370,19409,Advanced Drug Delivery Reviews,journal,Q1
371,17400,Current Opinion in Structural Biology,journal,Q1
372,20205,Trends in Molecular Medicine,journal,Q1
373,19400158483,Social Issues and Policy Review,journal,Q1
374,29183,Cancer Research,journal,Q1
375,23470,Coordination Chemistry Reviews,journal,Q1
376,5700191214,Molecular Neurodegeneration,journal,Q1
377,21100777340,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,conference and proceedings,-
378,17249,IEEE Communications Magazine,journal,Q1
379,24972,ACM Transactions on Graphics,journal,Q1
380,7500153133,Laser and Photonics Reviews,journal,Q1
381,21100235802,Cold Spring Harbor perspectives in medicine,journal,Q1
382,25037,IEEE Transactions on Evolutionary Computation,journal,Q1
383,24909,Automatica,journal,Q1
384,21100217611,Methods in Ecology and Evolution,journal,Q1
385,21100327726,Applied Physics Reviews,journal,Q1
386,100147317,Journal of Supply Chain Management,journal,Q1
387,19164,International Journal of Machine Tools and Manufacture,journal,Q1
388,21100390174,Annual Review of Virology,journal,Q1
389,12878,Chemistry of Materials,journal,Q1
390,26015,Leukemia,journal,Q1
391,100147338,Modern Language Journal,journal,Q1
392,21100445640,Trends in Cancer,journal,Q1
393,15537,Current Biology,journal,Q1
394,19169,Journal of Operations Management,journal,Q1
395,28800,Annual Review of Environment and Resources,book series,Q1
396,21100873474,Current Climate Change Reports,journal,Q1
397,21684,Journal of Heart and Lung Transplantation,journal,Q1
398,13358,Sociology of Education,journal,Q1
399,19700200702,Annual Review of Financial Economics,journal,Q1
400,12611,Drug Resistance Updates,journal,Q1
401,29009,Journal of Public Economics,journal,Q1
402,20022,Economic Policy,journal,Q1
403,16976,Annual Review of Sociology,book series,Q1
404,26430,SIAM Review,journal,Q1
405,17339,IEEE Transactions on Automatic Control,journal,Q1
406,21100778657,Acta Crystallographica Section D: Structural Biology,journal,Q1
407,18902,IEEE Journal on Selected Areas in Communications,journal,Q1
408,26746,Trends in Endocrinology and Metabolism,journal,Q1
409,17271,Medical Image Analysis,journal,Q1
410,19700188403,mBio,journal,Q1
411,12952,"IEEE Transactions on Systems, Man, and Cybernetics Part A:Systems and Humans",journal,Q1
412,25959,Annales Scientifiques de l'Ecole Normale Superieure,journal,Q1
413,18797,Current Opinion in Immunology,journal,Q1
414,16926,American Journal of Sociology,journal,Q1
415,13037,Annual Review of Biomedical Engineering,journal,Q1
416,19600166419,Foundations and Trends in Signal Processing,journal,Q1
417,18034,World Bank Research Observer,journal,Q1
418,13550,Journal of Climate,journal,Q1
419,15298,Structural Equation Modeling,journal,Q1
420,16232,British Journal of Political Science,journal,Q1
421,21100831450,Annual Review of Vision Science,journal,Q1
422,22080,Current Opinion in Genetics and Development,journal,Q1
423,15370,Journal of Abnormal Psychology,journal,Q1
424,14278,Educational Psychology Review,journal,Q1
425,19900191883,American Economic Journal: Microeconomics,journal,Q1
426,28092,Economic Geography,journal,Q1
427,28475,Ageing Research Reviews,journal,Q1
428,26259,Review of Economic Dynamics,journal,Q1
429,24393,Journal of International Economics,journal,Q1
430,21100924713,npj 2D Materials and Applications,journal,Q1
431,20833,Health Affairs,journal,Q1
432,18935,IEEE Wireless Communications,journal,Q1
433,12349,International Journal of Engineering Science,journal,Q1
434,20485,Annals of Surgery,journal,Q1
435,21100228543,JAMA Surgery,journal,Q1
436,19700200838,Chemical Science,journal,Q1
437,21100888816,Signal Transduction and Targeted Therapy,journal,Q1
438,22580,Earth-Science Reviews,journal,Q1
439,4000151808,PLoS Genetics,journal,Q1
440,26582,Geometry and Topology,journal,Q1
441,28181,Journal of Consumer Psychology,journal,Q1
442,3200147828,Small,journal,Q1
443,19817,British Journal of Sports Medicine,journal,Q1
444,19908,New Phytologist,journal,Q1
445,16764,Journal of Neuroscience,journal,Q1
446,21267,Journal of Allergy and Clinical Immunology,journal,Q1
447,13096,BMC Biology,journal,Q1
448,23833,Cement and Concrete Research,journal,Q1
449,29659,Journal of Structural Biology,journal,Q1
450,5800194481,Educational Researcher,journal,Q1
451,18045,Neuroscience and Biobehavioral Reviews,journal,Q1
452,21100778649,"Proceedings - 2016 IEEE Symposium on Security and Privacy, SP 2016",conference and proceedings,-
453,21100838541,Nature Human Behaviour,journal,Q1
454,28583,Acta Materialia,journal,Q1
455,14531,Development (Cambridge),journal,Q1
456,12074,Bulletin of the American Meteorological Society,journal,Q1
457,13564,Educational Psychologist,journal,Q1
458,21100332429,Annual Review of Statistics and Its Application,journal,Q1
459,12711,Multivariate Behavioral Research,journal,Q1
460,4700152287,Academy of Management Perspectives,journal,Q1
461,21359,Seminars in Immunology,journal,Q1
462,16160,Review of Finance,journal,Q1
463,11400153331,Mucosal Immunology,journal,Q1
464,21100338322,IEEE Geoscience and Remote Sensing Magazine,trade journal,Q1
465,4000151809,PLoS Pathogens,journal,Q1
466,26447,Journal of the European Mathematical Society,journal,Q1
467,27567,Renewable and Sustainable Energy Reviews,journal,Q1
468,23876,Journal of Differential Geometry,journal,Q1
469,29213,Cancer Treatment Reviews,journal,Q1
470,22913,Periodontology 2000,journal,Q1
471,16615,Plant Physiology,journal,Q1
472,28801,Applied Energy,journal,Q1
473,30020,Journal of Organizational Behavior,journal,Q1
474,19353,Schizophrenia Bulletin,journal,Q1
475,13140,Epidemiologic Reviews,journal,Q1
476,26020,Digest of Technical Papers - IEEE International Solid-State Circuits Conference,conference and proceedings,-
477,19700177027,IEEE Transactions on Sustainable Energy,journal,Q1
478,21100783502,"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",conference and proceedings,-
479,19700170610,IEEE Transactions on Smart Grid,journal,Q1
480,29150,Physical Review Letters,journal,Q1
481,14834,Journal of Development Economics,journal,Q1
482,19700180841,Surveys in Operations Research and Management Science,book series,Q1
483,22832,Political Behavior,journal,Q1
484,17945,Bioinformatics,journal,Q1
485,22424,Journal of the American Society of Echocardiography,journal,Q1
486,19837,Sleep Medicine Reviews,journal,Q1
487,100147318,Entrepreneurship: Theory and Practice,journal,Q1
488,19900191736,Conservation Letters,journal,Q1
489,21100853994,Translation,journal,Q1
490,21100235616,IEEE Transactions on Neural Networks and Learning Systems,journal,Q1
491,14750,International Journal of Epidemiology,journal,Q1
492,28111,BMC Medicine,journal,Q1
493,21100867475,npj Breast Cancer,journal,Q1
494,3900148405,Autophagy,journal,Q1
495,12503,Remote Sensing of Environment,journal,Q1
496,23200,Annales de l'Institut Henri Poincare. Annales: Analyse Non Lineaire/Nonlinear Analysis,journal,Q1
497,22238,Operations Research,journal,Q1
498,22044,Global Ecology and Biogeography,journal,Q1
499,19181,Psychotherapy and Psychosomatics,journal,Q1
500,19900191605,WIREs Climate Change,journal,Q1
501,24671,Memoirs of the American Mathematical Society,journal,Q1
502,26580,Geometric and Functional Analysis,journal,Q1
503,80370,Journal of Financial and Quantitative Analysis,journal,Q1
504,24724,Annals of Probability,journal,Q1
505,13447,Comparative Political Studies,journal,Q1
506,5700169428,Nous,journal,Q1
507,23672,RAND Journal of Economics,journal,Q1
508,12455,Molecular Therapy,journal,Q1
509,21100850723,mSystems,journal,Q1
510,21100873499,Nature Sustainability,journal,Q1
511,14122,Economic Development and Cultural Change,journal,Q1
512,20037,International Journal of Management Reviews,journal,Q1
513,24046,Seminars in Cancer Biology,journal,Q1
514,24025,Progress in Neurobiology,journal,Q1
515,14719,Intensive Care Medicine,journal,Q1
516,12963,Review of Accounting Studies,journal,Q1
517,13213,European Journal of Epidemiology,journal,Q1
518,146215,Journal of the National Comprehensive Cancer Network : JNCCN,journal,Q1
519,21100850798,npj Computational Materials,journal,Q1
520,28825,IEEE Transactions on Power Systems,journal,Q1
521,22838,Political Communication,journal,Q1
522,21100232403,Journal of Materials Chemistry A,journal,Q1
523,25487,Diabetes,journal,Q1
524,19992,Kidney International,journal,Q1
525,26371,Natural Product Reports,journal,Q1
526,25208,Archive for Rational Mechanics and Analysis,journal,Q1
527,21100403241,Research Synthesis Methods,journal,Q1
528,17269,Studies in Mycology,journal,Q1
529,29761,European Journal of Cancer,journal,Q1
530,18458,European Respiratory Journal,journal,Q1
531,17800156710,Nature Reviews Rheumatology,journal,Q1
532,147222,Reviews in Mineralogy and Geochemistry,book series,Q1
533,21100255423,R Journal,journal,Q1
534,28179,Journal of Advertising,journal,Q1
535,84156,Proceedings - IEEE Symposium on Security and Privacy,conference and proceedings,-
536,144974,Journal of Service Research,journal,Q1
537,21195,Pharmacology and Therapeutics,journal,Q1
538,13477,Current Directions in Psychological Science,journal,Q1
539,20893,"Transportation Research, Part C: Emerging Technologies",journal,Q1
540,19400157233,Circulation. Heart failure,journal,Q1
541,25829,Probability Theory and Related Fields,journal,Q1
542,26769,"Astrophysical Journal, Supplement Series",journal,Q1
543,26111,Frontiers in Neuroendocrinology,journal,Q1
544,18437,European Journal of Political Research,journal,Q1
545,18457,Cell Death and Differentiation,journal,Q1
546,15823,Journal of Public Administration Research and Theory,journal,Q1
547,17643,Journal of the American Academy of Child and Adolescent Psychiatry,journal,Q1
548,17148,Tobacco Control,journal,Q1
549,28973,Journal of Econometrics,journal,Q1
550,19900192103,Astrophysical Journal Letters,journal,Q1
551,13468,Psychological Science,journal,Q1
552,27822,Alimentary Pharmacology and Therapeutics,journal,Q1
553,21100467809,"Proceedings - 2016 IEEE European Symposium on Security and Privacy, EURO S and P 2016",conference and proceedings,-
554,20373,Sports Medicine,journal,Q1
555,14621,Annual Review of Nuclear and Particle Science,book series,Q1
556,22928,Journal of Interactive Marketing,journal,Q1
557,12481,Journal of Engineering Education,journal,Q1
558,21100456838,Cell Chemical Biology,journal,Q1
559,18391,Aging Cell,journal,Q1
560,21100199809,Probability Surveys,journal,Q1
