Authors,Author(s) ID,Title,Faculty,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Suzanna, Nurjannah I., Hartini S.",57218195738;34868556800;57194001710;,Nursing practice in sexual dimension of patients: Literature review,Kedokteran,2020,Enfermeria Clinica,30,,,55,60,,,10.1016/j.enfcli.2020.01.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088221436&doi=10.1016%2fj.enfcli.2020.01.009&partnerID=40&md5=b0e425dbb3f768ed456506b9c2b74930,"Doctoral Student, Faculty of Medicine, Public Health, and Nursing Universitas Gadjah Mada, Indonesia; Lecture School of Nursing, STIKes Muhammadiyah Palembang, Indonesia; Lecturer, School of Nursing Faculty of Medicine, Public Health, and Nursing Universitas Gadjah Mada, Indonesia","Suzanna, Doctoral Student, Faculty of Medicine, Public Health, and Nursing Universitas Gadjah Mada, Indonesia, Lecture School of Nursing, STIKes Muhammadiyah Palembang, Indonesia; Nurjannah, I., Lecturer, School of Nursing Faculty of Medicine, Public Health, and Nursing Universitas Gadjah Mada, Indonesia; Hartini, S., Lecturer, School of Nursing Faculty of Medicine, Public Health, and Nursing Universitas Gadjah Mada, Indonesia",Article,Final,,Scopus,2-s2.0-85088221436
"Wijianto B., Ritmaleni R., Purnomo H., Nurrochmad A.",57217736884;57216224221;56037196500;9243439100;,"In silico and in vitro anti-inflammatory evaluation of 2,6-bis-(3'-ethoxy, 4'-hydroxybenzylidene)-cyclohexanone, 2,6-bis-(3'-Bromo,4'-methoxybenzylidene)-cyclohexanone, and 2,6-bis-(3',4'-dimethoxybenzylidene)-cyclohexanone",Farmasi,2020,Journal of Applied Pharmaceutical Science,10,6,,99,106,,,10.7324/JAPS.2020.10613,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087558360&doi=10.7324%2fJAPS.2020.10613&partnerID=40&md5=ff3a34127a1f524ff35a330c65aebdff,"Pharmacy Chemistry Department, Pharmacy Study Program, Medical Faculty, Universitas Tanjungpura, Indonesia; Pharmacy Chemistry Department, Faculty of Pharmacy, Universitas Gadjah Mada, Indonesia","Wijianto, B., Pharmacy Chemistry Department, Pharmacy Study Program, Medical Faculty, Universitas Tanjungpura, Indonesia; Ritmaleni, R., Pharmacy Chemistry Department, Faculty of Pharmacy, Universitas Gadjah Mada, Indonesia; Purnomo, H., Pharmacy Chemistry Department, Faculty of Pharmacy, Universitas Gadjah Mada, Indonesia; Nurrochmad, A., Pharmacy Chemistry Department, Faculty of Pharmacy, Universitas Gadjah Mada, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85087558360
"Darwis D., Pangerteni D.S., Abbas B., Puspitasari T., Nuryanthi N., Nurrochmad A., Airin C.M.",6602086117;56737043600;7005910121;56736871600;35801263400;9243439100;57202086129;,"Molecular Weight, Degree of Deacetylation, and Acute Oral Toxicity Evaluation of Irradiated and Nonirradiated Chitosan Using Mice",Farmasi,2020,Macromolecular Symposia,391,1,1900149,,,,,10.1002/masy.201900149,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086730675&doi=10.1002%2fmasy.201900149&partnerID=40&md5=d78e591387fd526188c10ee8136c896e,"Center for Isotopes and Radiation Technology, National Nuclear Energy Agency, Jakarta, 12440, Indonesia; Faculty of Pharmacy, Gadjah Mada University, Yogyakarta, Indonesia; Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia","Darwis, D., Center for Isotopes and Radiation Technology, National Nuclear Energy Agency, Jakarta, 12440, Indonesia; Pangerteni, D.S., Center for Isotopes and Radiation Technology, National Nuclear Energy Agency, Jakarta, 12440, Indonesia; Abbas, B., Center for Isotopes and Radiation Technology, National Nuclear Energy Agency, Jakarta, 12440, Indonesia; Puspitasari, T., Center for Isotopes and Radiation Technology, National Nuclear Energy Agency, Jakarta, 12440, Indonesia; Nuryanthi, N., Center for Isotopes and Radiation Technology, National Nuclear Energy Agency, Jakarta, 12440, Indonesia; Nurrochmad, A., Faculty of Pharmacy, Gadjah Mada University, Yogyakarta, Indonesia, Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia; Airin, C.M., Faculty of Pharmacy, Gadjah Mada University, Yogyakarta, Indonesia, Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia",Article,Final,,Scopus,2-s2.0-85086730675
"Kurniawan L.B., Adnan E., Mulyono B., Windarwati",57215684157;56780398200;57193085436;,Insulin resistance and testosterone level in Indonesian young adult males,Kedokteran,2020,Romanian journal of internal medicine = Revue roumaine de medecine interne,58,2,,93,98,,,10.2478/rjim-2020-0004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086682233&doi=10.2478%2frjim-2020-0004&partnerID=40&md5=9e6e4583c6c891ba1606ae342d30161c,"Clinical Pathology Department, Faculty of Medicine, Hasanuddin University, Makassar, Indonesia; Internal Medicine Department, Faculty of Medicine, Hasanuddin University, Makassar, Indonesia; Clinical Pathology Department, Faculty of Medicine, Gadjah Mada UniversityYogyakarta, Indonesia","Kurniawan, L.B., Clinical Pathology Department, Faculty of Medicine, Hasanuddin University, Makassar, Indonesia; Adnan, E., Internal Medicine Department, Faculty of Medicine, Hasanuddin University, Makassar, Indonesia; Mulyono, B., Clinical Pathology Department, Faculty of Medicine, Gadjah Mada UniversityYogyakarta, Indonesia; Windarwati",Article,Final,Open Access,Scopus,2-s2.0-85086682233
"Wibisono F.J., Sumiarto B., Untari T., Effendi M.H., Permatasari D.A., Witaningrum A.M.",57207830536;57009007400;56514122200;57191326453;57217108986;56151088600;,"Short communication: The presence of extended-spectrum beta-lactamase (ESBL) producing escherichia coli on layer chicken farms in Blitar area, Indonesia",Kedokteran Hewan,2020,Biodiversitas,21,6,,2667,2671,,6,10.13057/biodiv/d210638,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086278717&doi=10.13057%2fbiodiv%2fd210638&partnerID=40&md5=b1a10da5d2c7ee09980217a6a6a1665e,"Faculty of Veterinary Medicine, Universitas Gadjah Mada, Jl. Fauna No. 2, Karangmalang, Yogyakarta, 55281, Indonesia; Department of Veterinary Public Health, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Jl. Fauna No. 2, Karangmalang, Yogyakarta, 55281, Indonesia; Department of Microbiology, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Jl. Fauna No. 2, Karangmalang, Sleman, Yogyakarta, 55281, Indonesia; Halal Research Center, Universitas Airlangga, Jl. Raya Mulyorejo, Surabaya, East Java 60115, Indonesia; Department of Veterinary Public Health, Faculty of Veterinary Medicine, Universitas Airlangga, Jl. Raya Mulyorejo, Surabaya, East Java 60115, Indonesia","Wibisono, F.J., Faculty of Veterinary Medicine, Universitas Gadjah Mada, Jl. Fauna No. 2, Karangmalang, Yogyakarta, 55281, Indonesia; Sumiarto, B., Department of Veterinary Public Health, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Jl. Fauna No. 2, Karangmalang, Yogyakarta, 55281, Indonesia; Untari, T., Department of Microbiology, Faculty of Veterinary Medicine, Universitas Gadjah Mada, Jl. Fauna No. 2, Karangmalang, Sleman, Yogyakarta, 55281, Indonesia; Effendi, M.H., Halal Research Center, Universitas Airlangga, Jl. Raya Mulyorejo, Surabaya, East Java 60115, Indonesia, Department of Veterinary Public Health, Faculty of Veterinary Medicine, Universitas Airlangga, Jl. Raya Mulyorejo, Surabaya, East Java 60115, Indonesia; Permatasari, D.A., Department of Veterinary Public Health, Faculty of Veterinary Medicine, Universitas Airlangga, Jl. Raya Mulyorejo, Surabaya, East Java 60115, Indonesia; Witaningrum, A.M., Department of Veterinary Public Health, Faculty of Veterinary Medicine, Universitas Airlangga, Jl. Raya Mulyorejo, Surabaya, East Java 60115, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85086278717
"Boy R., Indradewa D., Putra E.T.S., Kurniasih B.",57217105969;56604176900;35779044700;55623300600;,"Drought-induced production of reactive oxygen species and antioxidants activity of four local upland rice cultivars in Central Sulawesi, Indonesia",Pertanian,2020,Biodiversitas,21,6,,2555,2565,,1,10.13057/biodiv/d210628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086242891&doi=10.13057%2fbiodiv%2fd210628&partnerID=40&md5=2ff571b398ff7f73ebcae2ee12150a79,"Institute for Agricultural Technology of Central Sulawesi, Jl. Palu-Kulawi Street Km.15, Watubula, Regency of SigiCentral Sulawesi, Indonesia; Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia","Boy, R., Institute for Agricultural Technology of Central Sulawesi, Jl. Palu-Kulawi Street Km.15, Watubula, Regency of SigiCentral Sulawesi, Indonesia, Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Indradewa, D., Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Putra, E.T.S., Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Kurniasih, B., Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85086242891
"Kusharyati D.F., Pramono H., Ryandini D., Manshur T.A., Dewi M.A., Khatimah K., Rovik A.",57195285554;57201314635;57156613500;57217093384;57217091974;57217090554;57209007763;,Bifidobacterium from infant stool: The diversity and potential screening,Kedokteran,2020,Biodiversitas,21,6,,2506,2513,,,10.13057/biodiv/d210623,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086168205&doi=10.13057%2fbiodiv%2fd210623&partnerID=40&md5=d2f7850f460dd435fcf205b8cd727426,"Department of Microbiology, Faculty of Biology, Universitas Jenderal Soedirman, Jl. Suparno No. 63, Grendeng, Purwokerto, Banyumas, Central Java 53122, Indonesia; Centre for Tropical Medicine, Faculty of Medicine, Public Health, and Nursing, Universitas Gadjah Mada, PAU Building 2ndFloor. Jl. Teknika Utara, Sleman, Yogyakarta 53288, Indonesia","Kusharyati, D.F., Department of Microbiology, Faculty of Biology, Universitas Jenderal Soedirman, Jl. Suparno No. 63, Grendeng, Purwokerto, Banyumas, Central Java 53122, Indonesia; Pramono, H., Department of Microbiology, Faculty of Biology, Universitas Jenderal Soedirman, Jl. Suparno No. 63, Grendeng, Purwokerto, Banyumas, Central Java 53122, Indonesia; Ryandini, D., Department of Microbiology, Faculty of Biology, Universitas Jenderal Soedirman, Jl. Suparno No. 63, Grendeng, Purwokerto, Banyumas, Central Java 53122, Indonesia; Manshur, T.A., Department of Microbiology, Faculty of Biology, Universitas Jenderal Soedirman, Jl. Suparno No. 63, Grendeng, Purwokerto, Banyumas, Central Java 53122, Indonesia; Dewi, M.A., Department of Microbiology, Faculty of Biology, Universitas Jenderal Soedirman, Jl. Suparno No. 63, Grendeng, Purwokerto, Banyumas, Central Java 53122, Indonesia; Khatimah, K., Department of Microbiology, Faculty of Biology, Universitas Jenderal Soedirman, Jl. Suparno No. 63, Grendeng, Purwokerto, Banyumas, Central Java 53122, Indonesia; Rovik, A., Centre for Tropical Medicine, Faculty of Medicine, Public Health, and Nursing, Universitas Gadjah Mada, PAU Building 2ndFloor. Jl. Teknika Utara, Sleman, Yogyakarta 53288, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85086168205
"Surono U.B., Saptoadi H., Rohmat T.A.",56377051400;53980377300;54390143900;,Improving thermochemical and physical properties of cocoa pod shell by torrefaction and its potential utilization,Teknik,2020,International Energy Journal,20,2,,141,154,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086144210&partnerID=40&md5=2b0c62511b79a018d093b4e2d842f4a4,"Department of Mechanical and Industrial Engineering, Universitas Gadjah Mada, Jalan Grafika No.2, Yogyakarta, Indonesia; Department of Mechanical Engineering, Universitas Janabadra, Jalan Tentara Rakyat Mataram No.55-57, Yogyakarta, Indonesia","Surono, U.B., Department of Mechanical and Industrial Engineering, Universitas Gadjah Mada, Jalan Grafika No.2, Yogyakarta, Indonesia, Department of Mechanical Engineering, Universitas Janabadra, Jalan Tentara Rakyat Mataram No.55-57, Yogyakarta, Indonesia; Saptoadi, H., Department of Mechanical and Industrial Engineering, Universitas Gadjah Mada, Jalan Grafika No.2, Yogyakarta, Indonesia; Rohmat, T.A., Department of Mechanical and Industrial Engineering, Universitas Gadjah Mada, Jalan Grafika No.2, Yogyakarta, Indonesia",Article,Final,,Scopus,2-s2.0-85086144210
"Antonius A., Ginting S.P., Elieser S., Tarigan A., Solehudin S., Budisatria I.G.S., Sari A.P.Z.N.L., Hariyono D.N.H., Maharani D.",57217087730;57218398254;57202117025;57202502640;57217079576;15052951400;57213264384;57204874512;54881785100;,The association of single nucleotide polymorphism (SNP) g.281G > A of cast gene with meat quality of boerka goat,Peternakan,2020,Iranian Journal of Applied Animal Science,10,2,,303,309,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086133244&partnerID=40&md5=0018097266fbf5d3d655bb86f73591f3,"Indonesia Goat Research Center Sei Putih, Galang, North Sumatera, 20585, Indonesia; Department of Animal Breeding and Reproduction, Faculty of Animal Science, Universitas Gadjah Mada, Yogyakarta, Indonesia","Antonius, A., Indonesia Goat Research Center Sei Putih, Galang, North Sumatera, 20585, Indonesia; Ginting, S.P., Indonesia Goat Research Center Sei Putih, Galang, North Sumatera, 20585, Indonesia; Elieser, S., Indonesia Goat Research Center Sei Putih, Galang, North Sumatera, 20585, Indonesia; Tarigan, A., Indonesia Goat Research Center Sei Putih, Galang, North Sumatera, 20585, Indonesia; Solehudin, S., Indonesia Goat Research Center Sei Putih, Galang, North Sumatera, 20585, Indonesia; Budisatria, I.G.S., Department of Animal Breeding and Reproduction, Faculty of Animal Science, Universitas Gadjah Mada, Yogyakarta, Indonesia; Sari, A.P.Z.N.L., Department of Animal Breeding and Reproduction, Faculty of Animal Science, Universitas Gadjah Mada, Yogyakarta, Indonesia; Hariyono, D.N.H., Department of Animal Breeding and Reproduction, Faculty of Animal Science, Universitas Gadjah Mada, Yogyakarta, Indonesia; Maharani, D., Department of Animal Breeding and Reproduction, Faculty of Animal Science, Universitas Gadjah Mada, Yogyakarta, Indonesia",Article,Final,,Scopus,2-s2.0-85086133244
"Susandarini R., Subandiyah S., Daryono B.S., Rugayah",6505723919;7801643162;8928730200;55629374300;,Microsatellite polymorphism for molecular characterization of pomelo (Citrus maxima) accessions from indonesia,Biologi,2020,Biodiversitas,21,6,,2390,2395,,,10.13057/biodiv/d210608,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086120330&doi=10.13057%2fbiodiv%2fd210608&partnerID=40&md5=becd9539eaed962c8bda9998a9ba0421,"Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia; Faculty of Agriculture, Universitas Gadjah Mada, Jl. Agro, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Research Center for Biology, Indonesian Institute of Sciences, Cibinong Science Centre, Indonesia. Jl. Raya Jakarta-Bogor Km. 46, Bogor, Cibinong, West Java 16911, Indonesia","Susandarini, R., Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia; Subandiyah, S., Faculty of Agriculture, Universitas Gadjah Mada, Jl. Agro, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Daryono, B.S., Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia; Rugayah, Research Center for Biology, Indonesian Institute of Sciences, Cibinong Science Centre, Indonesia. Jl. Raya Jakarta-Bogor Km. 46, Bogor, Cibinong, West Java 16911, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85086120330
"Maghfiroh C.N., Putra E.T.S., Hs E.S.D.",57217085031;35779044700;57217087588;,Root detection by resistivity imaging and physiological activity with the dead-end trench on three clones of cocoa (Theobroma cacao),Pertanian,2020,Biodiversitas,21,6,,2794,2803,,,10.13057/biodiv/d210656,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086111774&doi=10.13057%2fbiodiv%2fd210656&partnerID=40&md5=9a47b0a5fc5b7eab8680c252938139bb,"Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Department of Agrotechnology, Faculty of Agriculture, Universitas Sintuwu Maroso, Jl. Pulau Timor No.1, Gebang Rejo, Poso, Central Sulawesi 94612, Indonesia","Maghfiroh, C.N., Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Putra, E.T.S., Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Hs, E.S.D., Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia, Department of Agrotechnology, Faculty of Agriculture, Universitas Sintuwu Maroso, Jl. Pulau Timor No.1, Gebang Rejo, Poso, Central Sulawesi 94612, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85086111774
"Putro G.S., Marsoem S.N., Sulistyo J., Hardiwinoto S.",57217085918;35293122100;57208894483;7801630417;,The growth of three teak (Tectona grandis) clones and its effect on wood properties,Kehutanan,2020,Biodiversitas,21,6,,2814,2821,,,10.13057/biodiv/d210658,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086082970&doi=10.13057%2fbiodiv%2fd210658&partnerID=40&md5=4762fb6915022c7d6d0c9fb8d553ee09,"Faculty of Forestry, Institut Pertanian Intan Yogyakarta, Jl Magelang Km 5.6, Mlati, SlemanYogyakarta 55284, Indonesia; Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, SlemanYogyakarta 55281, Indonesia","Putro, G.S., Faculty of Forestry, Institut Pertanian Intan Yogyakarta, Jl Magelang Km 5.6, Mlati, SlemanYogyakarta 55284, Indonesia; Marsoem, S.N., Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, SlemanYogyakarta 55281, Indonesia; Sulistyo, J., Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, SlemanYogyakarta 55281, Indonesia; Hardiwinoto, S., Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, SlemanYogyakarta 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85086082970
"Hutapea S., Maas A., Jayadi R.",57217012829;57195481878;6506972789;,"Biophysical characteristics of deli river watershed to know potential flooding in Medan City, Indonesia",Pertanian,2020,Journal of Rangeland Science,10,3,,316,327,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085996985&partnerID=40&md5=4abe52fdd1ffc61f8ad953febb267c16,"Agricultural Faculty, Universitas Medan Area (UMA), Medan, Indonesia; Universitas Gadjah Mada, Yogyakarta, Indonesia","Hutapea, S., Agricultural Faculty, Universitas Medan Area (UMA), Medan, Indonesia; Maas, A., Universitas Gadjah Mada, Yogyakarta, Indonesia; Jayadi, R., Universitas Gadjah Mada, Yogyakarta, Indonesia",Article,Final,,Scopus,2-s2.0-85085996985
"Sutikno, Afiahayati, Harjoko A.",56694938800;55940697500;6506899735;,Detection on head of motorcyclist without helmet: A review,MIPA,2020,ICIC Express Letters,14,6,,605,612,,,10.24507/icicel.14.06.605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085704673&doi=10.24507%2ficicel.14.06.605&partnerID=40&md5=217a6ad9dd0de219e6df4f5adb176af1,"Department of Computer Science, Faculty of Science and Mathematics, Diponegoro University, Jl. Prof. Soedarto, SH, Tembalang, Semarang, 50275, Indonesia; Department of Computer Science and Electronics, Faculty of Mathematics and Natural Science, Universitas Gadjah Mada, Sekip Utara, Bulaksumur, Yogyakarta, 55281, Indonesia","Sutikno, Department of Computer Science, Faculty of Science and Mathematics, Diponegoro University, Jl. Prof. Soedarto, SH, Tembalang, Semarang, 50275, Indonesia, Department of Computer Science and Electronics, Faculty of Mathematics and Natural Science, Universitas Gadjah Mada, Sekip Utara, Bulaksumur, Yogyakarta, 55281, Indonesia; Afiahayati, Department of Computer Science and Electronics, Faculty of Mathematics and Natural Science, Universitas Gadjah Mada, Sekip Utara, Bulaksumur, Yogyakarta, 55281, Indonesia; Harjoko, A., Department of Computer Science and Electronics, Faculty of Mathematics and Natural Science, Universitas Gadjah Mada, Sekip Utara, Bulaksumur, Yogyakarta, 55281, Indonesia",Review,Final,,Scopus,2-s2.0-85085704673
"Fang Y.-C., Chan L., Liou J.-P., Tu Y.-K., Lai M.-J., Chen C.-I., Vidyanti A.N., Lee H.-Y., Hu C.-J.",56937428900;35221093600;7202248715;57212196343;36998749700;57192220030;57210752993;36998885500;7404569929;,HDAC inhibitor protects chronic cerebral hypoperfusion and oxygen-glucose deprivation injuries via H3K14 and H4K5 acetylation-mediated BDNF expression,Kedokteran,2020,Journal of Cellular and Molecular Medicine,24,12,,6966,6977,,,10.1111/jcmm.15358,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085143602&doi=10.1111%2fjcmm.15358&partnerID=40&md5=17956ee6b37a114f402a344f22e0db10,"Taipei Neuroscience Institute, Taipei Medical University, Taipei, Taiwan; Department of Neurology, Shuang Ho Hospital, Taipei Medical University, New Taipei City, Taiwan; School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei, Taiwan; TMU Biomedical Commercialization Center, Taipei Medical University, Taipei, Taiwan; Department of Neurology, Wan Fang Hospital, Taipei Medical University, Taipei, Taiwan; Department of Neurology, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, Indonesia; International Master/PhD Program in Medicine, College of Medicine, Taipei Medical University, Taipei, Taiwan","Fang, Y.-C., Taipei Neuroscience Institute, Taipei Medical University, Taipei, Taiwan; Chan, L., Department of Neurology, Shuang Ho Hospital, Taipei Medical University, New Taipei City, Taiwan; Liou, J.-P., School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei, Taiwan, TMU Biomedical Commercialization Center, Taipei Medical University, Taipei, Taiwan; Tu, Y.-K., Taipei Neuroscience Institute, Taipei Medical University, Taipei, Taiwan, Department of Neurology, Shuang Ho Hospital, Taipei Medical University, New Taipei City, Taiwan; Lai, M.-J., TMU Biomedical Commercialization Center, Taipei Medical University, Taipei, Taiwan; Chen, C.-I., Department of Neurology, Wan Fang Hospital, Taipei Medical University, Taipei, Taiwan; Vidyanti, A.N., Department of Neurology, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, Indonesia, International Master/PhD Program in Medicine, College of Medicine, Taipei Medical University, Taipei, Taiwan; Lee, H.-Y., School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei, Taiwan; Hu, C.-J., Taipei Neuroscience Institute, Taipei Medical University, Taipei, Taiwan, Department of Neurology, Shuang Ho Hospital, Taipei Medical University, New Taipei City, Taiwan",Article,Final,Open Access,Scopus,2-s2.0-85085143602
"Iswahyudi S., Sutrisno, Prajitno, Wibowo S.B.",57203589510;57202146540;57190939561;55481135900;,Effect of blade tip shapes on the performance of a small HAWT: An investigation in a wind tunnel,Teknik,2020,Case Studies in Thermal Engineering,19,,100634,,,,,10.1016/j.csite.2020.100634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084189515&doi=10.1016%2fj.csite.2020.100634&partnerID=40&md5=9e41ae19ef5a58e5149833e04236196f,"Department of Mechanical and Industrial Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Mechanical Engineering, Vocational College, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Department of Mechanical Engineering, Universitas Tidar, Magelang, 56116, Indonesia","Iswahyudi, S., Department of Mechanical and Industrial Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia, Department of Mechanical Engineering, Universitas Tidar, Magelang, 56116, Indonesia; Sutrisno, Department of Mechanical and Industrial Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Prajitno, Department of Mechanical and Industrial Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Wibowo, S.B., Department of Mechanical and Industrial Engineering, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia, Mechanical Engineering, Vocational College, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85084189515
"Syaichurrozi I., Sarto S., Sediawan W.B., Hidayat M.",55881609100;57210117674;57200658554;8239227400;,Mechanistic model of electrocoagulation process for treating vinasse waste: Effect of initial pH,Teknik,2020,Journal of Environmental Chemical Engineering,8,3,103756,,,,1,10.1016/j.jece.2020.103756,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083762256&doi=10.1016%2fj.jece.2020.103756&partnerID=40&md5=c11f4fe4d48e1a771c03dafcd9f2e448,"Department of Chemical Engineering, Faculty of Engineering, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, 55281, Indonesia; Department of Chemical Engineering, Faculty of Engineering, University of Sultan Ageng Tirtayasa, Jl. Jendral Soedirman Km 3, Cilegon, 42435, Indonesia","Syaichurrozi, I., Department of Chemical Engineering, Faculty of Engineering, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, 55281, Indonesia, Department of Chemical Engineering, Faculty of Engineering, University of Sultan Ageng Tirtayasa, Jl. Jendral Soedirman Km 3, Cilegon, 42435, Indonesia; Sarto, S., Department of Chemical Engineering, Faculty of Engineering, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, 55281, Indonesia; Sediawan, W.B., Department of Chemical Engineering, Faculty of Engineering, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, 55281, Indonesia; Hidayat, M., Department of Chemical Engineering, Faculty of Engineering, Universitas Gadjah Mada, Jl. Grafika No.2, Yogyakarta, 55281, Indonesia",Article,Final,,Scopus,2-s2.0-85083762256
